Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR2977653	(1.0, 13.444230327528956)	(2.0, 15.753644244685002)	(3.0, 16.736088413588075)	(4.0, 13.597929235082532)	(5.0, 9.411126596390362)	(6.0, 5.684964892206266)	(7.0, 3.3175770894395913)	(8.0, 1.9505079746991254)	(9.0, 1.2816622432698759)	('>10', 7.353173860556149)	('>50', 2.811967790071686)	('>100', 5.721323061660679)	('>500', 1.6070583216834629)	('>1k', 0.4013358028537143)	('>5k', 0.5067078899811719)	('>10k+', 0.42070225630338604)
SRR2977654	(1.0, 12.934384751349192)	(2.0, 14.960025802982683)	(3.0, 16.554064533318403)	(4.0, 13.74334105434592)	(5.0, 9.554320604665781)	(6.0, 6.079394856058471)	(7.0, 3.5387943800936545)	(8.0, 2.1521192730793937)	(9.0, 1.3404500058094884)	('>10', 7.7455329993216875)	('>50', 2.8415959981007433)	('>100', 5.759331660153636)	('>500', 1.5163035521934678)	('>1k', 0.4008790344492854)	('>5k', 0.5109815276452007)	('>10k+', 0.3684799664329674)
SRR2977655	(1.0, 62.45952164079195)	(2.0, 12.097431822243944)	(3.0, 4.3064010998923585)	(4.0, 2.2430920639413414)	(5.0, 1.4632729794820907)	(6.0, 1.1820249068903312)	(7.0, 0.8440139518679607)	(8.0, 0.7358070854830326)	(9.0, 0.557622707025708)	('>10', 5.92037072235992)	('>50', 1.3760176372487523)	('>100', 1.633026132197674)	('>500', 0.512456106865157)	('>1k', 1.7234816161777218)	('>5k', 1.1918733443260772)	('>10k+', 1.7535861832060764)
SRR2977656	(1.0, 60.88832502182174)	(2.0, 12.70089290253697)	(3.0, 5.230703578592663)	(4.0, 2.9200622857712597)	(5.0, 1.9635338143388001)	(6.0, 1.429191348598438)	(7.0, 1.1457787691366355)	(8.0, 0.8914084310587598)	(9.0, 0.7944596380191846)	('>10', 7.062175802691136)	('>50', 1.2211424512647537)	('>100', 1.2051870743134752)	('>500', 0.35767502846272725)	('>1k', 1.3443763389420942)	('>5k', 0.5051430620211015)	('>10k+', 0.339944452430168)
SRR2977657	(1.0, 52.00821229864775)	(2.0, 15.335498369852091)	(3.0, 6.754931572705961)	(4.0, 3.714129004973109)	(5.0, 2.466565572584478)	(6.0, 1.7498120200873564)	(7.0, 1.4200931637938194)	(8.0, 1.1287637630473055)	(9.0, 0.8697978621504298)	('>10', 8.814295606451305)	('>50', 1.531134186508891)	('>100', 1.332471443282079)	('>500', 0.35468865787937737)	('>1k', 1.206911709714173)	('>5k', 0.7750965524175025)	('>10k+', 0.5375982159043335)
SRR2977658	(1.0, 66.96227078419889)	(2.0, 10.469059807297235)	(3.0, 3.6910083677688927)	(4.0, 2.074036411647256)	(5.0, 1.3328801493036657)	(6.0, 0.9682956732971719)	(7.0, 0.7662348985015613)	(8.0, 0.6355088340765991)	(9.0, 0.5172409111518798)	('>10', 4.507287745182724)	('>50', 0.8786012610621854)	('>100', 1.0394764037273674)	('>500', 0.5426136482123811)	('>1k', 1.9345100553466512)	('>5k', 1.7755011757230599)	('>10k+', 1.9054738735025105)
SRR2977659	(1.0, 57.9945311850651)	(2.0, 13.212242829185639)	(3.0, 5.175275571209997)	(4.0, 2.8507754745633695)	(5.0, 1.8424827416391838)	(6.0, 1.370961723368634)	(7.0, 1.0261327308110468)	(8.0, 0.8635070532628006)	(9.0, 0.6977652790128642)	('>10', 7.036267898937148)	('>50', 1.4395659537360577)	('>100', 1.5780430862707333)	('>500', 0.37349272215262724)	('>1k', 1.5866979916038157)	('>5k', 1.259414789215295)	('>10k+', 1.6928429699656633)
SRR2977660	(1.0, 57.96120540504114)	(2.0, 13.37253434241321)	(3.0, 5.433212774520968)	(4.0, 3.0260227312963615)	(5.0, 1.974778730586683)	(6.0, 1.4357219272592459)	(7.0, 1.0431494977310785)	(8.0, 0.8737591194625759)	(9.0, 0.7360328519941466)	('>10', 7.214811250399324)	('>50', 1.549297406268603)	('>100', 1.8346015605179233)	('>500', 0.39579501920339477)	('>1k', 1.5926135147853289)	('>5k', 1.0946525824539273)	('>10k+', 0.4618112860660737)
SRR2977661	(1.0, 67.0250257687375)	(2.0, 12.598786125514238)	(3.0, 4.625494558882029)	(4.0, 2.567940526498055)	(5.0, 1.7247127199320003)	(6.0, 1.2372835415992618)	(7.0, 0.9460310781724)	(8.0, 0.7708519458231542)	(9.0, 0.5796824306547133)	('>10', 4.495463093088159)	('>50', 0.40349606126786497)	('>100', 0.3843166328749128)	('>500', 0.12589499854099667)	('>1k', 1.0882995246490792)	('>5k', 0.6583076552002859)	('>10k+', 0.7684133385652835)
SRR2977662	(1.0, 67.77691053060192)	(2.0, 12.84378164134298)	(3.0, 4.5530946830887755)	(4.0, 2.4154669299566907)	(5.0, 1.606992351659347)	(6.0, 1.1105221996734738)	(7.0, 0.8382432366852087)	(8.0, 0.7327992884486434)	(9.0, 0.5222689866641808)	('>10', 4.7934952382544305)	('>50', 0.64896227790279)	('>100', 0.4809161611879091)	('>500', 0.09333085556425406)	('>1k', 0.8685389688096969)	('>5k', 0.3687904725099666)	('>10k+', 0.3458861776498743)
SRR2977663	(1.0, 61.53004160191021)	(2.0, 14.294271163884224)	(3.0, 5.5736477862687295)	(4.0, 3.183465996591786)	(5.0, 1.9612728721311061)	(6.0, 1.4026721303114698)	(7.0, 1.1153153273573373)	(8.0, 0.9107404411840692)	(9.0, 0.6723510384787933)	('>10', 6.164003279499468)	('>50', 0.7812887112505617)	('>100', 0.5135014944013858)	('>500', 0.09906791293921757)	('>1k', 0.6791996750964086)	('>5k', 0.5671272721105975)	('>10k+', 0.5520332965846076)
SRR2977664	(1.0, 71.16309436969816)	(2.0, 12.823019688642573)	(3.0, 4.336877215185339)	(4.0, 2.1899899104531944)	(5.0, 1.3708770324372181)	(6.0, 0.9967746924339549)	(7.0, 0.7590777033034745)	(8.0, 0.6012943831679823)	(9.0, 0.46884019582949443)	('>10', 3.6804923214339427)	('>50', 0.36346881162986977)	('>100', 0.30923264861149447)	('>500', 0.12661060567396992)	('>1k', 0.6263424922206412)	('>5k', 0.18400792927872675)	('>10k+', 0.0)
SRR2977665	(1.0, 68.2990462968797)	(2.0, 13.567103892097768)	(3.0, 4.777843026695392)	(4.0, 2.3689839358696765)	(5.0, 1.5381250508875763)	(6.0, 1.095121453136441)	(7.0, 0.8345326576440959)	(8.0, 0.6663133800152902)	(9.0, 0.49920121525615613)	('>10', 4.127279580106964)	('>50', 0.447803132476745)	('>100', 0.36325709629793174)	('>500', 0.12842697374174303)	('>1k', 0.7850669855688615)	('>5k', 0.23145691845461708)	('>10k+', 0.2704384048710206)
