"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"WP_NEURAL_CREST_DIFFERENTIATION",0.393459581212981,0.835606156046897,0.00821274644600237,-0.603336246799832,-1.09134869029804,7,"[""TCF7L1"",""FGFR1"",""CTBP2"",""CTNNB1""]"
"HP_MACROGLOSSIA",0.39319057204901,0.835606156046897,0.00794317155197807,-0.540431332056841,-1.08002790085522,11,"[""SNRPN"",""PTEN""]"
"ACTGCAG_MIR173P",0.393531821238613,0.835606156046897,0.00774752385665437,-0.501349551876141,-1.07050102430698,15,"[""MARCKS"",""CSDE1"",""DDX5"",""HIF1A"",""LIN28A""]"
"GSE6674_CPG_VS_CPG_AND_ANTI_IGM_STIM_BCELL_DN",0.392847076973284,0.835606156046897,0.0076013513094272,-0.475095136524015,-1.06460000828545,19,"[""LIN7C"",""SLC38A2"",""SLC2A3"",""HIF1A"",""USP22"",""EEF1E1""]"
"GOBP_DOUBLE-STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION",0.39295577050875,0.835606156046897,0.00757683130889061,-0.470533285656186,-1.06399431585853,20,"[""MAD2L2"",""NUCKS1"",""ZMYND8"",""RAD21"",""SFPQ"",""MORF4L2"",""MCM3"",""PARP1"",""RIF1"",""ACTB""]"
"HP_SYNDACTYLY",0.393235149038123,0.835606156046897,0.00733371954760135,-0.437700791663268,-1.05727999940444,28,"[""FGFR1"",""SNRPN"",""PHGDH"",""MAD2L2"",""PTEN"",""FDFT1""]"
"HP_REDUCED_TENDON_REFLEXES",0.392857142857143,0.835606156046897,0.00698776508440242,-0.400079801709202,-1.05086599059845,46,"[""PODXL"",""HSPB1"",""SNRPN"",""MT-ND3"",""MT-ND5"",""MT-ATP8"",""MT-ND1"",""MT-ND2"",""TSPYL1"",""TPM3"",""MTPAP"",""HSD17B4"",""NDUFS4"",""DNMT1""]"
"GOCC_CYTOPLASMIC_VESICLE_LUMEN",0.393333080223243,0.835606156046897,0.00679379169184486,-0.383520110716862,-1.04671939465686,60,"[""VCL"",""CNN2"",""APRT"",""XRCC6"",""CCT8"",""IDH1"",""CTSC"",""ILF2"",""TMSB4X"",""ALDOA"",""PSMB1"",""PSMA5"",""CSTB"",""EEF1A1"",""NME2"",""PPIA"",""TUBB"",""PSMD11"",""PSMD6"",""FTL"",""HSPA8"",""GSTP1"",""OLA1"",""GPI"",""DYNLT1""]"
"GOCC_SECRETORY_GRANULE_LUMEN",0.393333080223243,0.835606156046897,0.00679379169184486,-0.383520110716862,-1.04671939465686,60,"[""VCL"",""CNN2"",""APRT"",""XRCC6"",""CCT8"",""IDH1"",""CTSC"",""ILF2"",""TMSB4X"",""ALDOA"",""PSMB1"",""PSMA5"",""CSTB"",""EEF1A1"",""NME2"",""PPIA"",""TUBB"",""PSMD11"",""PSMD6"",""FTL"",""HSPA8"",""GSTP1"",""OLA1"",""GPI"",""DYNLT1""]"
"GOCC_VESICLE_LUMEN",0.393333080223243,0.835606156046897,0.00679379169184486,-0.383520110716862,-1.04671939465686,60,"[""VCL"",""CNN2"",""APRT"",""XRCC6"",""CCT8"",""IDH1"",""CTSC"",""ILF2"",""TMSB4X"",""ALDOA"",""PSMB1"",""PSMA5"",""CSTB"",""EEF1A1"",""NME2"",""PPIA"",""TUBB"",""PSMD11"",""PSMD6"",""FTL"",""HSPA8"",""GSTP1"",""OLA1"",""GPI"",""DYNLT1""]"
