"","x"
"COPS5",-787
"UBIAD1",-618
"HDHD3",-167.5
"FUBP1",-72.5
"SMIM15",-2110
"VARS1",-13132
"RPL31",-5276.5
"DCTN3",693.5
"HNRNPUL1",-3829
"GOLPH3",-2249.5
"UBAC2",-13115
"MYOF",-12657
"ADISSP",-9965
"PUS7",-9783
"EP300",890
"IWS1",186
"CTPS1",-3474
"POP5",-1635
"ATP5F1E",-7530
"RAB8A",125
"AFF4",-1673
"MRPS17",-9894.5
"ILF3",-2010
