.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR2978365	1	1	1	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978366	1	1	1	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978367	1	1	0.5	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978368	1	1	0.5	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978369	1	1	0.5	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978370	1	1	0.5	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978371	1	1	0.5	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978372	1	1	0.5	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978373	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978374	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978375	1	1	1	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978376	1	1	1	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978377	1	1	1	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978378	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978379	1	1	0.5	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978380	1	1	0.5	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978381	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978382	1	1	0.5	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978383	1	1	0.5	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978384	1	1	0.5	1	0.25	0.5	1	1	0.5	0.25	1
SRR2978385	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978386	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978387	1	1	1	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978388	1	1	1	1	0.25	0.5	1	1	0.5	0.25	1
SRR2978389	1	1	1	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978390	1	1	1	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978391	1	1	0.5	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978392	1	1	0.5	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978393	1	1	0.5	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978394	1	1	0.5	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978395	1	1	1	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978396	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978397	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978398	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2978399	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2978400	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2978401	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2978402	1	1	0.5	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978403	1	1	0.5	1	0.25	1	1	1	0.5	0.5	1
SRR2978404	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978405	1	1	0.5	1	0.25	1	1	1	0.5	0.5	1
SRR2978406	1	1	0.5	1	0.25	1	1	1	0.5	0.5	1
SRR2978407	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2978408	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978409	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2978410	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978411	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2978412	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2978413	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978414	1	1	0.5	1	0.25	1	1	1	0.5	0.5	1
SRR2978415	1	1	0.5	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978416	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978417	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2978418	1	1	0.5	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978419	1	1	0.5	1	0.25	1	1	1	0.5	0.5	1
SRR2978420	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978421	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2978422	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978423	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978424	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978425	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978426	1	1	0.5	1	0.25	1	1	1	0.5	0.5	1
SRR2978427	1	1	0.5	1	0.25	1	1	1	0.5	0.5	1
SRR2978428	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
SRR2978429	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978430	1	1	0.5	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978431	1	1	0.5	1	0.25	1	1	1	0.5	0.5	1
SRR2978432	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978433	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2978434	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978435	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978436	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978437	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978438	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978439	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
SRR2978440	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978441	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978442	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2978443	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2978444	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978445	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2978446	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978447	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978448	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2978449	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2978450	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
SRR2978451	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2978452	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
SRR2978453	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978454	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2978455	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978456	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978457	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978458	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978459	1	1	0.25	1	0.25	0.25	1	1	0.25	0.5	1
SRR2978460	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978461	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978462	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
SRR2978463	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
SRR2978464	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978465	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978466	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978467	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978468	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978469	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978470	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978471	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978472	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978473	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978474	1	1	0.25	1	0.25	0.5	1	1	1	0.5	1
SRR2978475	1	1	0.25	1	0.25	0.25	1	1	0.5	1	1
SRR2978476	1	1	0.25	1	0.25	0.25	1	1	0.5	1	1
SRR2978477	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978478	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978479	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978480	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978481	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978482	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978483	1	1	0.25	1	0.25	0.25	1	1	1	0.25	1
SRR2978484	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978485	1	1	0.25	1	0.25	0.25	1	1	1	0.25	1
SRR2978486	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978487	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978488	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978489	1	1	0.25	1	0.25	0.25	1	1	1	0.25	1
SRR2978490	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978491	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978492	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978493	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978494	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978495	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978496	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978497	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978498	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978499	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978500	1	1	0.25	1	0.25	0.25	1	1	0.5	1	1
SRR2978501	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978502	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978503	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978504	1	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR2978505	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978506	1	1	0.25	1	0.25	1	1	1	1	0.5	1
SRR2978507	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978508	1	1	0.25	1	0.25	0.5	1	1	1	0.5	1
SRR2978509	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978510	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978512	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978513	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978514	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978515	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978516	1	1	0.25	1	0.25	0.25	1	1	1	0.25	1
SRR2978517	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978518	1	1	0.25	1	0.25	1	1	1	1	0.5	1
SRR2978519	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978520	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978521	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978522	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978523	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978524	1	1	0.25	1	0.25	0.25	1	1	0.5	1	1
SRR2978525	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978526	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978527	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978528	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978529	1	1	0.25	1	0.25	0.25	1	1	0.5	1	1
SRR2978530	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978531	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978532	1	1	0.25	1	0.25	0.5	1	1	1	0.5	1
SRR2978533	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978534	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978535	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978536	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978537	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978538	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978539	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978540	1	1	0.25	1	0.25	0.25	1	1	0.5	1	1
SRR2978541	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978542	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978543	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978544	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978545	1	1	0.25	1	0.25	0.25	1	1	0.5	1	1
SRR2978546	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978547	1	1	0.25	1	0.25	0.25	1	1	1	0.25	1
SRR2978548	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978549	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978550	1	1	0.25	1	0.25	0.25	1	1	0.5	1	1
SRR2978551	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978552	1	1	0.25	1	0.25	0.25	1	1	1	0.25	1
SRR2978553	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978554	1	1	0.25	1	0.25	0.5	1	1	1	0.5	1
SRR2978555	1	1	0.25	1	0.25	0.5	1	1	1	0.5	1
SRR2978556	1	1	0.25	1	0.25	0.25	1	1	0.5	1	1
SRR2978557	1	1	0.25	1	0.25	0.5	1	1	0.5	1	1
SRR2978558	1	1	0.25	1	0.25	0.25	1	1	0.25	0.5	1
SRR2978559	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978560	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978561	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978562	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978563	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978564	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978565	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978566	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978567	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978568	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978569	1	1	0.25	1	0.25	0.25	1	1	0.25	0.5	1
SRR2978570	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978571	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978572	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978573	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978574	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978575	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978576	1	1	0.25	1	0.25	0.25	1	1	0.25	0.5	1
SRR2978577	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978578	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978579	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978580	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978581	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978582	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978583	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978584	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978585	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978586	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978587	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978588	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978589	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978590	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978591	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978592	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978593	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978594	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978595	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978596	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978597	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978598	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978599	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978600	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978601	1	1	0.25	1	0.25	0.5	1	1	0.5	0.25	1
SRR2978602	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978603	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978604	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978605	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978606	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978607	1	1	0.25	1	0.25	0.5	1	1	0.5	0.25	1
SRR2978608	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978609	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978610	1	1	0.25	1	0.25	0.25	1	1	0.25	0.5	1
SRR2978611	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978612	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978613	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978614	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978615	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978616	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978617	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978618	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978619	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978620	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978621	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978622	1	1	0.25	1	0.25	0.25	1	1	0.25	0.5	1
SRR2978623	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978624	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978625	1	1	0.25	1	0.25	0.25	1	1	1	0.25	1
SRR2978626	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978627	1	1	0.25	1	0.25	0.25	1	1	0.25	0.5	1
SRR2978628	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978629	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978630	1	1	0.25	1	0.25	0.25	1	1	0.5	1	1
SRR2978631	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978632	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978633	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978634	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978635	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978636	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978637	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978638	1	1	0.25	1	0.25	0.25	1	1	0.25	0.5	1
SRR2978639	1	1	0.25	1	0.25	0.5	1	1	0.5	0.25	1
SRR2978640	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978641	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978642	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978643	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978644	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978645	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978646	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978647	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978648	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978649	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978650	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978651	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978652	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978653	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978654	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978655	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978656	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978657	1	1	0.25	1	0.25	0.25	1	1	0.25	0.5	1
SRR2978658	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978659	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978660	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978661	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978662	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978663	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978664	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978665	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978666	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978667	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978668	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978669	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978670	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978671	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978672	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978673	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978675	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978676	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978677	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978678	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978679	1	1	1	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978680	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978681	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978682	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978683	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978684	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978685	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978686	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978687	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978688	1	1	0.25	1	0.25	0.5	1	1	0.5	0.25	1
SRR2978689	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978690	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978691	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978692	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978693	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978694	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978695	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978696	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978697	1	1	0.25	1	0.25	0.5	1	1	0.5	0.25	1
SRR2978698	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978699	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978700	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978701	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978702	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978703	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978704	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978705	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978706	1	1	0.5	1	0.25	0.25	1	1	1	0.25	1
SRR2978707	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978708	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978709	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978710	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978711	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978712	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978713	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978714	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978715	1	1	0.5	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978716	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978717	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978718	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978719	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978720	1	1	0.5	1	0.25	0.25	1	1	1	0.25	1
SRR2978721	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978722	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978723	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978724	1	1	0.25	1	0.25	0.5	1	1	1	0.5	1
SRR2978725	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978726	1	1	0.25	1	0.25	0.25	1	1	0.25	0.5	1
SRR2978727	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978728	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978729	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
