Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR2977653	(1.0, 13.341437910975543)	(2.0, 15.728240479325734)	(3.0, 16.74580037380364)	(4.0, 13.610275105394292)	(5.0, 9.443838612263994)	(6.0, 5.691117567887183)	(7.0, 3.3362561712784298)	(8.0, 1.9585008584300536)	(9.0, 1.283166033410782)	('>10', 7.374097047097742)	('>50', 2.809754005945959)	('>100', 5.736789009668905)	('>500', 1.6099344110558294)	('>1k', 0.4015814735640026)	('>5k', 0.5076218484339279)	('>10k+', 0.4215890914639885)
SRR2977654	(1.0, 12.811579888342555)	(2.0, 14.946195235049723)	(3.0, 16.544727923995133)	(4.0, 13.771046643576417)	(5.0, 9.575572255421347)	(6.0, 6.097172967878979)	(7.0, 3.564739054472742)	(8.0, 2.150249731365824)	(9.0, 1.3517106983659826)	('>10', 7.760147001918227)	('>50', 2.8487005211753553)	('>100', 5.777801358647443)	('>500', 1.5181163557215807)	('>1k', 0.40128802092745597)	('>5k', 0.5119588900315076)	('>10k+', 0.3689934531097348)
SRR2977655	(1.0, 51.20665482504384)	(2.0, 15.031560037012639)	(3.0, 5.973484463832477)	(4.0, 3.147855775202766)	(5.0, 1.9753612897210906)	(6.0, 1.508837029703285)	(7.0, 1.095738393587692)	(8.0, 0.9516169631659194)	(9.0, 0.7779878222096099)	('>10', 8.077070996756017)	('>50', 2.133578703415171)	('>100', 2.6143783251778823)	('>500', 0.4516644294906543)	('>1k', 1.066670887053409)	('>5k', 1.2703691435193751)	('>10k+', 2.7171709151080927)
SRR2977656	(1.0, 49.07661194370281)	(2.0, 14.651477635469515)	(3.0, 6.644847058897916)	(4.0, 3.7427423996146403)	(5.0, 2.5202130150048374)	(6.0, 1.8843431655776395)	(7.0, 1.4579677104280566)	(8.0, 1.2247533320019353)	(9.0, 0.9930465488301286)	('>10', 10.750564863149389)	('>50', 2.1803672148296798)	('>100', 1.9677122925195123)	('>500', 0.3943766143409081)	('>1k', 1.1362740454846654)	('>5k', 0.90668901962287)	('>10k+', 0.46801314052549636)
SRR2977657	(1.0, 41.164347103461054)	(2.0, 16.857112417177326)	(3.0, 7.980592403516644)	(4.0, 4.675037317227439)	(5.0, 3.096811346502698)	(6.0, 2.178127488358826)	(7.0, 1.7344618919988797)	(8.0, 1.4711723487075061)	(9.0, 1.1262384381287966)	('>10', 11.82129350311159)	('>50', 2.4791948694330905)	('>100', 2.251964715431148)	('>500', 0.3836813892284516)	('>1k', 0.6406605240529837)	('>5k', 0.7373067392961392)	('>10k+', 1.4019975043674617)
SRR2977658	(1.0, 55.80824061820405)	(2.0, 13.408803776507048)	(3.0, 5.105740629342384)	(4.0, 2.7633805478161166)	(5.0, 1.81262166610108)	(6.0, 1.3419440596965677)	(7.0, 1.036221734425819)	(8.0, 0.8930418191795332)	(9.0, 0.7226911066877796)	('>10', 7.421853217101668)	('>50', 1.627263638663072)	('>100', 1.6220832146143807)	('>500', 0.36383539943729776)	('>1k', 1.5113319504736313)	('>5k', 1.5298510525803957)	('>10k+', 3.031095569169187)
SRR2977659	(1.0, 47.333531770969785)	(2.0, 14.999789740691277)	(3.0, 6.924440396308201)	(4.0, 3.773196155829765)	(5.0, 2.3971616340634863)	(6.0, 1.7832894156384973)	(7.0, 1.3508659237571687)	(8.0, 1.0832554305428514)	(9.0, 0.9022044081778307)	('>10', 9.34922788853635)	('>50', 2.253080247945733)	('>100', 2.572981814457351)	('>500', 0.42007831661907163)	('>1k', 0.9880956218691573)	('>5k', 1.0659303429396483)	('>10k+', 2.8028708916537712)
SRR2977660	(1.0, 47.39800937197732)	(2.0, 14.888507127317643)	(3.0, 6.853902375469088)	(4.0, 3.969102094726317)	(5.0, 2.6312837520773247)	(6.0, 1.8701965328484296)	(7.0, 1.493100824456888)	(8.0, 1.178192525098674)	(9.0, 0.9851470580737312)	('>10', 9.659123774801309)	('>50', 2.2654126758547313)	('>100', 2.84140226437188)	('>500', 0.49449155391631716)	('>1k', 0.9259091168321606)	('>5k', 1.2848458262611326)	('>10k+', 1.2613731259170038)
SRR2977661	(1.0, 48.946815806490406)	(2.0, 14.005570324772526)	(3.0, 6.138685008880125)	(4.0, 3.55660077648801)	(5.0, 2.28372693398221)	(6.0, 1.6596482652318854)	(7.0, 1.304576974510597)	(8.0, 1.1038791194064421)	(9.0, 0.8656512952412978)	('>10', 9.125773490722196)	('>50', 1.8214616515406217)	('>100', 1.7158109949698221)	('>500', 0.38631021770473684)	('>1k', 1.3246179835272165)	('>5k', 0.7663677509939727)	('>10k+', 4.994503405537838)
SRR2977662	(1.0, 49.496595875584774)	(2.0, 14.888077279347204)	(3.0, 6.5562501283127865)	(4.0, 3.5599676563977245)	(5.0, 2.3876035103789235)	(6.0, 1.6424460199436048)	(7.0, 1.231397844736515)	(8.0, 0.9834890571097494)	(9.0, 0.8394417157393179)	('>10', 8.580318571517797)	('>50', 2.1725856914618147)	('>100', 2.5590151034578272)	('>500', 0.4166680843172726)	('>1k', 0.963976267269563)	('>5k', 1.2163761732873697)	('>10k+', 2.505791021137645)
