.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
ERR1042645	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042646	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042647	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042648	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042649	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1042650	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042651	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042652	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042653	1	1	1	0.25	1	1	1	0.25	0.25	1
ERR1042654	1	1	1	0.25	0.25	1	1	0.5	0.25	1
ERR1042655	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042656	1	1	1	0.25	0.5	1	1	0.5	0.25	1
ERR1042657	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042658	1	1	1	0.25	1	1	1	0.25	1	1
ERR1042659	1	1	1	0.25	0.5	1	1	0.5	0.5	1
ERR1042660	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042661	1	1	1	0.25	0.5	1	1	0.25	1	1
ERR1042662	1	1	1	0.25	1	1	1	0.25	0.25	1
ERR1042663	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042664	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042665	1	1	1	0.25	1	1	1	0.25	1	1
ERR1042666	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042667	1	1	1	0.5	1	1	1	0.5	0.5	1
ERR1042668	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042669	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042670	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1042671	1	1	1	0.25	1	1	1	0.25	0.25	1
ERR1042672	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042673	1	1	1	0.25	1	1	1	0.25	1	1
ERR1042674	1	1	1	0.25	1	1	1	0.25	1	1
ERR1042675	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042676	1	1	1	0.5	1	1	1	0.25	1	1
ERR1042677	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042678	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042679	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042680	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042681	1	1	1	0.25	1	1	1	0.25	1	1
ERR1042682	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042683	1	1	1	0.5	1	1	1	0.5	0.5	1
ERR1042684	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042685	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042686	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042687	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042688	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042689	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042690	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042691	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042692	1	1	1	0.25	0.5	1	1	0.5	0.5	1
ERR1042693	1	1	1	0.5	0.5	1	1	0.25	0.5	1
ERR1042694	1	1	1	0.25	0.25	1	1	0.25	0.5	1
ERR1042695	1	1	1	0.25	0.5	1	1	0.5	0.5	1
ERR1042696	1	1	1	0.25	0.25	1	1	0.25	0.5	1
ERR1042697	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1042698	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042699	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042700	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042701	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042702	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042703	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042704	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042705	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042706	1	1	1	0.25	0.5	1	1	0.5	0.5	1
ERR1042707	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042708	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042709	1	1	1	0.25	0.25	1	1	0.25	0.5	1
ERR1042710	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042711	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042712	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042713	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042714	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042715	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042716	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042717	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042718	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042719	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042720	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042721	1	1	1	0.25	0.25	1	1	0.25	0.5	1
ERR1042722	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042723	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042724	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042725	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042726	1	1	1	0.25	0.5	1	1	0.5	0.5	1
ERR1042727	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042728	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042729	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1042730	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042731	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042732	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042733	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042734	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042735	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042736	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042737	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042738	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042739	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042740	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042741	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042742	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1042743	1	1	1	0.25	0.25	1	1	0.25	0.5	1
ERR1042744	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042745	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042746	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042747	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1042748	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042749	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042750	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042751	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1042752	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042753	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042754	1	1	1	0.25	1	1	1	0.5	0.25	1
ERR1042755	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042756	1	1	1	0.25	1	1	1	0.5	0.25	1
ERR1042757	1	1	1	0.25	0.5	1	1	0.5	0.25	1
ERR1042758	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042759	1	1	1	0.25	1	1	1	0.5	0.25	1
ERR1042760	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042761	1	1	1	0.25	1	1	1	0.5	0.25	1
ERR1042762	1	1	1	0.25	1	1	1	0.5	0.25	1
ERR1042763	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042764	1	1	1	0.25	1	1	1	0.25	0.25	1
ERR1042765	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042766	1	1	1	0.25	1	1	1	0.25	0.25	1
ERR1042767	1	1	1	0.25	1	1	1	0.25	0.25	1
ERR1042768	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042769	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042770	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042771	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042772	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042773	1	1	1	0.25	1	1	1	0.25	0.25	1
ERR1042774	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042775	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042776	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042777	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042778	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042779	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042780	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042781	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042782	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042783	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042784	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042785	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042786	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042787	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042788	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042789	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042790	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042791	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042792	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042793	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042794	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042795	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042796	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042797	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042798	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042799	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042800	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042801	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042802	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042803	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042804	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042805	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042806	1	1	1	0.5	1	1	1	0.25	0.5	1
ERR1042807	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042808	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042809	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042810	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042811	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042812	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042813	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042814	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042815	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042816	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042817	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042818	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042819	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042820	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042821	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042822	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042823	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042824	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042825	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042826	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042827	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042828	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042829	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042830	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042831	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042832	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042833	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042834	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042835	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042836	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042837	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042838	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042839	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042840	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042841	1	1	1	0.5	0.5	1	1	0.25	0.5	1
ERR1042842	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042843	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042844	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042845	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042846	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042847	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042848	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042849	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042850	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042851	1	1	1	0.5	0.5	1	1	0.25	0.5	1
ERR1042852	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042853	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042854	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042855	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042856	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042857	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042858	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042859	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042860	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042861	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042862	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042863	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042864	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042865	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042866	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042867	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042868	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042869	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042870	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042871	1	1	1	0.25	1	1	1	0.5	0.25	1
ERR1307208	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1307209	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1307210	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1307211	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1307212	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1307213	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1307214	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1307215	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1307216	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1307217	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1307218	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1307219	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1307220	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1307221	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1307222	1	1	1	0.25	1	1	1	0.5	1	1
ERR1307223	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1307224	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1307225	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1307226	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1307227	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1307228	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1307229	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1307230	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1307231	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1307232	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1307233	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1307234	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1307235	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1307236	1	1	1	0.25	0.5	1	1	0.5	0.25	1
ERR1307237	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1307238	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1307239	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1307240	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1307241	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1307242	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1307243	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1307244	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1307245	1	1	1	0.25	1	1	1	0.5	1	1
ERR1307246	1	1	1	0.25	1	1	1	1	1	1
ERR1307247	1	1	1	0.25	1	1	1	0.5	1	1
ERR1307248	1	1	1	0.25	1	1	1	0.5	1	1
ERR1307249	1	1	1	0.25	1	1	1	0.5	1	1
ERR1307250	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1307251	1	1	1	0.25	1	1	1	1	0.5	1
ERR1307252	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1307253	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1307254	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1307255	1	1	1	0.25	1	1	1	1	0.5	1
ERR1307256	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1307257	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1307258	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1307259	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1307260	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1307261	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1307262	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1307263	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1307264	1	1	1	0.25	1	1	1	1	0.5	1
ERR1307265	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1307266	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1307267	1	1	1	0.25	1	1	1	0.5	0.5	1
