.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
ERR1041797	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041798	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1041799	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041800	1	1	1	0.25	1	1	1	0.5	1	1
ERR1041801	1	1	1	0.25	0.5	1	1	0.5	0.5	1
ERR1041802	1	1	1	0.25	1	1	1	0.25	1	1
ERR1041803	1	1	1	0.25	1	1	1	0.5	1	1
ERR1041804	1	1	1	0.25	1	1	1	0.5	1	1
ERR1041805	1	1	1	0.25	0.5	1	1	1	0.5	1
ERR1041806	1	1	1	0.25	1	1	1	0.5	1	1
ERR1041807	1	1	1	0.25	1	1	1	0.5	1	1
ERR1041808	1	1	1	0.25	1	1	1	0.25	0.5	1
