Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR1041440	(1.0, 43.81369842345597)	(2.0, 9.610019253131608)	(3.0, 4.494468902408652)	(4.0, 2.992649442265746)	(5.0, 2.181945414194512)	(6.0, 1.7039645414750757)	(7.0, 1.469215561900875)	(8.0, 1.1702183350466024)	(9.0, 1.015532432337248)	('>10', 14.238973808449598)	('>50', 6.083486766151919)	('>100', 9.933625333856062)	('>500', 0.793159991793107)	('>1k', 0.49904179353296935)	('>5k', 0.0)	('>10k+', 0.0)
ERR1041441	(1.0, 33.13651441513828)	(2.0, 12.280997890195614)	(3.0, 6.156283802710265)	(4.0, 3.9726475082540866)	(5.0, 2.784214276137524)	(6.0, 2.1737755255920588)	(7.0, 1.7688096296124678)	(8.0, 1.4817952735977813)	(9.0, 1.288410257091454)	('>10', 14.511705702510941)	('>50', 4.561853779972586)	('>100', 9.241886171471155)	('>500', 2.729052311588222)	('>1k', 2.2686294853058135)	('>5k', 0.06343295717014295)	('>10k+', 1.579991013651722)
ERR1041442	(1.0, 40.873688372666074)	(2.0, 12.164275044519233)	(3.0, 5.779705766488083)	(4.0, 3.7607543048980787)	(5.0, 2.5924541833727757)	(6.0, 2.0801130661891576)	(7.0, 1.5799397133771507)	(8.0, 1.3889630616421704)	(9.0, 1.2159616071622785)	('>10', 13.473317433828985)	('>50', 4.144932714594106)	('>100', 7.328227120749236)	('>500', 1.5092967150463235)	('>1k', 0.4577650044734308)	('>5k', 0.13939103610445588)	('>10k+', 1.5112148548885092)
ERR1041443	(1.0, 39.592961121533435)	(2.0, 8.197035882499053)	(3.0, 3.5988960160315546)	(4.0, 2.2168418237577447)	(5.0, 1.6436246370081928)	(6.0, 1.2419841383568584)	(7.0, 1.0202489844593667)	(8.0, 0.8648396679482626)	(9.0, 0.7758680962569252)	('>10', 10.992047705262415)	('>50', 4.622345811415246)	('>100', 11.403312595260413)	('>500', 4.37542046735133)	('>1k', 6.698959392035377)	('>5k', 1.0366228837262452)	('>10k+', 1.7189907770975548)
ERR1041444	(1.0, 35.63650033798713)	(2.0, 9.246215130697099)	(3.0, 4.275810317987719)	(4.0, 2.741645219056936)	(5.0, 1.9192109300965856)	(6.0, 1.461111224876294)	(7.0, 1.1891279301280024)	(8.0, 1.0665861419221174)	(9.0, 0.9192980303328376)	('>10', 12.769622194529662)	('>50', 5.107887603766789)	('>100', 11.730115084837847)	('>500', 4.305352904335014)	('>1k', 6.0411174512497015)	('>5k', 0.42293282846322694)	('>10k+', 1.1674666697330327)
ERR1041445	(1.0, 35.77562399137034)	(2.0, 10.241314144210392)	(3.0, 5.0063502031503715)	(4.0, 3.196750542335675)	(5.0, 2.276084159083914)	(6.0, 1.7435451436795413)	(7.0, 1.3695516996252368)	(8.0, 1.1832380965965354)	(9.0, 1.0651890130621846)	('>10', 14.136153147032319)	('>50', 5.063052490866757)	('>100', 10.067680542084453)	('>500', 3.2226466503543922)	('>1k', 4.19672478153755)	('>5k', 0.2028277973933842)	('>10k+', 1.2532675976169625)
ERR1041446	(1.0, 34.24957163215892)	(2.0, 7.994052765677896)	(3.0, 3.696676469305898)	(4.0, 2.3077352160170426)	(5.0, 1.5890791975503125)	(6.0, 1.272913555673339)	(7.0, 1.0440709763764533)	(8.0, 0.8741592191237139)	(9.0, 0.790079465106649)	('>10', 10.843534650100436)	('>50', 4.796843310009315)	('>100', 13.586074993077297)	('>500', 5.456942616093053)	('>1k', 9.336030785029836)	('>5k', 1.1890048958100123)	('>10k+', 0.9732302528898458)
ERR1041447	(1.0, 27.97715026988106)	(2.0, 9.114500977955046)	(3.0, 4.535428532233369)	(4.0, 2.9110806621085983)	(5.0, 2.1179705451287063)	(6.0, 1.6333152039057803)	(7.0, 1.3614105261365421)	(8.0, 1.1531655893062491)	(9.0, 0.9918904681769907)	('>10', 13.32839354482657)	('>50', 5.038674884161314)	('>100', 11.362507938378519)	('>500', 4.620868659032014)	('>1k', 9.235577301117766)	('>5k', 1.758465493211002)	('>10k+', 2.859599404440547)
ERR1041448	(1.0, 32.14493825581428)	(2.0, 8.721684543527468)	(3.0, 4.116256037986627)	(4.0, 2.37880776358644)	(5.0, 1.7345922537321201)	(6.0, 1.3251611012514735)	(7.0, 1.0676479066629012)	(8.0, 0.9309775476408217)	(9.0, 0.7427341131829907)	('>10', 11.137158721864825)	('>50', 4.608490252293013)	('>100', 12.151327734253796)	('>500', 5.24561998240949)	('>1k', 9.749173450951119)	('>5k', 2.236309827658461)	('>10k+', 1.7091205071842197)
ERR1041449	(1.0, 31.885206110903503)	(2.0, 8.77971598600776)	(3.0, 4.12141713442961)	(4.0, 2.5785557563808896)	(5.0, 1.8642573286152424)	(6.0, 1.4854823816904583)	(7.0, 1.1913026493798884)	(8.0, 0.9741056551997594)	(9.0, 0.8600567631204364)	('>10', 12.440050112132342)	('>50', 4.994218807959943)	('>100', 12.984324284049666)	('>500', 5.047447633636249)	('>1k', 8.568929714676491)	('>5k', 1.088981513738681)	('>10k+', 1.1359481680790007)
