"","x"
"ENSG00000143294",-8153.5
"ENSG00000163512",-8179
"ENSG00000264546",-8180
"ENSG00000112312",-8203
"ENSG00000227187",-8253
"ENSG00000231684",-8261
"ENSG00000065135",-8353
"ENSG00000083168",-8355
"ENSG00000260850",-8411
"ENSG00000126883",-8437
"ENSG00000167186",-8493
"ENSG00000119285",-8504
"ENSG00000074695",-8591
"ENSG00000215474",-8592
"ENSG00000136875",-8598
"ENSG00000231293",-8669
"ENSG00000198791",-8717
"ENSG00000213371",-9008.5
"ENSG00000213641",-9082.5
"ENSG00000226899",-9100.5
"ENSG00000103460",-9103.5
"ENSG00000225558",-9216
"ENSG00000060237",-9233
"ENSG00000133657",-9273.5
"ENSG00000288793",-9278
"ENSG00000219559",-9384
"ENSG00000240522",-9405.5
"ENSG00000240210",-9482
"ENSG00000124151",-9519.5
"ENSG00000130032",-9521
"ENSG00000181222",-9592.5
"ENSG00000134001",-9686.5
"ENSG00000200388",-9698
"ENSG00000267736",-9705
"ENSG00000235400",-9738
"ENSG00000214223",-9827.5
"ENSG00000254598",-9941
"ENSG00000196396",-10171
"ENSG00000259601",-10216
"ENSG00000235735",-10273
"ENSG00000224773",-10364.5
"ENSG00000119541",-10380.5
"ENSG00000138750",-10430
"ENSG00000215007",-10477.5
"ENSG00000145817",-10586.5
"ENSG00000213579",-10630
"ENSG00000272391",-10631.5
"ENSG00000114902",-10747
"ENSG00000122872",-10837
"ENSG00000115216",-10842
"ENSG00000164040",-10851
"ENSG00000182687",-10915
"ENSG00000088325",-10926
"ENSG00000138802",-10932
"ENSG00000228818",-10956.5
"ENSG00000224094",-10982
"ENSG00000124198",-11071
"ENSG00000139218",-11157
"ENSG00000157106",-11331
"ENSG00000055917",-11353.5
"ENSG00000067955",-11432
"ENSG00000110321",-11455
"ENSG00000213787",-11594
"ENSG00000230175",-11707
"ENSG00000231043",-11832
"ENSG00000108256",-11868
"ENSG00000091732",-11910
"ENSG00000242634",-11921
"ENSG00000253341",-11942
"ENSG00000166847",-12124
"ENSG00000113456",-12157.5
"ENSG00000238055",-12190
"ENSG00000230118",-12191.5
"ENSG00000247763",-12194
"ENSG00000242087",-12214
"ENSG00000066654",-12244
"ENSG00000258570",-12410
"ENSG00000156374",-12418
"ENSG00000168092",-12439
"ENSG00000138663",-12592
"ENSG00000090020",-12626
"ENSG00000172262",-12658.5
"ENSG00000100603",-12806.5
"ENSG00000166200",-12975.5
"ENSG00000205726",-13001.5
"ENSG00000166452",-13010.5
"ENSG00000121749",-13059.5
"ENSG00000120948",-13092.5
"ENSG00000128944",-13159
"ENSG00000228247",-13323.5
"ENSG00000188895",-13458.5
"ENSG00000228656",-13538
"ENSG00000111361",-13551
"ENSG00000221914",-13585
"ENSG00000204965",-13660
"ENSG00000120802",-13732
"ENSG00000160551",-13865
"ENSG00000055483",-13900
"ENSG00000131467",-14292.5
"ENSG00000086666",-14472
"ENSG00000128595",-14528.5
"ENSG00000228019",-14633.5
"ENSG00000211460",-14647
"ENSG00000169612",-14813.5
"ENSG00000224629",-15149
"ENSG00000159263",-15283
"ENSG00000290759",-15733.5
"ENSG00000104218",-15960
"ENSG00000270575",-16147.5
"ENSG00000120656",-16158
"ENSG00000213281",-16396
"ENSG00000236317",-16518.5
"ENSG00000184677",-16791
"ENSG00000154473",-16902
"ENSG00000204131",-17003.5
"ENSG00000104626",-17246
"ENSG00000187569",-17259
"ENSG00000151247",-17311.5
"ENSG00000159248",-17625
"ENSG00000196290",-17941
"ENSG00000135720",-18208.5
"ENSG00000243304",-18410.5
"ENSG00000288876",-20726
"ENSG00000187134",-21281
