"","x"
"ENSG00000060339",-3842
"ENSG00000124562",-3848
"ENSG00000004478",-3851
"ENSG00000119772",-3854
"ENSG00000106105",-3875
"ENSG00000089009",-3882
"ENSG00000071564",-3898
"ENSG00000136628",-3900
"ENSG00000174444",-3905
"ENSG00000132507",-3926
"ENSG00000237973",-3936
"ENSG00000242858",-3942
"ENSG00000172115",-3951
"ENSG00000215386",-3957.5
"ENSG00000204628",-3975
"ENSG00000198888",-3994
"ENSG00000267669",-4012
"ENSG00000066044",-4021.5
"ENSG00000228253",-4050
"ENSG00000213237",-4060
"ENSG00000161981",-4106
"ENSG00000155115",-4114
"ENSG00000196305",-4120
"ENSG00000187855",-4127
"ENSG00000213393",-4190
"ENSG00000227417",-4228
"ENSG00000205352",-4245
"ENSG00000119969",-4252.5
"ENSG00000080824",-4285
"ENSG00000164985",-4301
"ENSG00000198134",-4305.5
"ENSG00000225165",-4311
"ENSG00000253352",-4316.5
"ENSG00000128463",-4334
"ENSG00000069849",-4362.5
"ENSG00000259781",-4375
"ENSG00000271687",-4380
"ENSG00000198668",-4385.5
"ENSG00000161547",-4405
"ENSG00000197894",-4409
"ENSG00000249698",-4420
"ENSG00000258427",-4421.5
"ENSG00000115541",-4434.5
"ENSG00000008018",-4441
"ENSG00000240103",-4448
"ENSG00000142864",-4453
"ENSG00000130726",-4464
"ENSG00000270307",-4481.5
"ENSG00000176619",-4490
"ENSG00000092201",-4505
"ENSG00000231503",-4508
"ENSG00000089693",-4515.5
"ENSG00000168002",-4519.5
"ENSG00000257528",-4524
"ENSG00000213704",-4524.5
"ENSG00000152795",-4547
"ENSG00000079246",-4558.5
"ENSG00000293312",-4572
"ENSG00000165264",-4635
"ENSG00000041357",-4650
"ENSG00000223467",-4658.5
"ENSG00000230076",-4665
"ENSG00000101608",-4667
"ENSG00000143799",-4671
"ENSG00000110955",-4671
"ENSG00000152234",-4697
"ENSG00000136527",-4712
"ENSG00000113407",-4712.5
"ENSG00000154518",-4725
"ENSG00000275419",-4727
"ENSG00000178980",-4729.5
"ENSG00000234106",-4754.5
"ENSG00000236523",-4771
"ENSG00000092820",-4772
"ENSG00000227913",-4802
"ENSG00000230207",-4817
"ENSG00000232975",-4821
"ENSG00000235297",-4821.5
"ENSG00000254999",-4824.5
"ENSG00000143321",-4842
"ENSG00000214975",-4855
"ENSG00000197744",-4856
"ENSG00000241837",-4865
"ENSG00000153048",-4941.5
"ENSG00000107581",-4965
"ENSG00000130770",-4965
"ENSG00000172053",-4983
"ENSG00000154813",-5054
"ENSG00000008083",-5054.5
"ENSG00000128951",-5055
"ENSG00000150753",-5075
"ENSG00000169976",-5096
"ENSG00000165280",-5117
"ENSG00000229638",-5125
"ENSG00000242060",-5145
"ENSG00000109046",-5151.5
"ENSG00000128050",-5172.5
"ENSG00000163931",-5242
"ENSG00000224078",-5254
"ENSG00000223529",-5263
"ENSG00000111640",-5286
"ENSG00000223452",-5299.5
"ENSG00000048162",-5309
"ENSG00000125835",-5310.5
"ENSG00000215088",-5335
"ENSG00000238082",-5366
"ENSG00000111906",-5408
"ENSG00000128739",-5437.5
"ENSG00000111639",-5453
"ENSG00000205639",-5464
"ENSG00000240950",-5465
"ENSG00000243855",-5485
"ENSG00000213326",-5496.5
"ENSG00000164346",-5502
"ENSG00000173660",-5522
"ENSG00000231006",-5538
"ENSG00000175029",-5549
"ENSG00000137547",-5562
"ENSG00000146701",-5576
"ENSG00000149357",-5645.5
"ENSG00000234797",-5668
"ENSG00000215414",-5669
"ENSG00000229738",-5679
"ENSG00000224981",-5703.5
"ENSG00000180817",-5751
"ENSG00000116898",-5788
"ENSG00000289371",-5788
"ENSG00000162910",-5788
"ENSG00000189159",-5803
"ENSG00000204531",-5820
"ENSG00000197451",-5830.5
"ENSG00000243199",-5851.5
"ENSG00000267809",-5866
"ENSG00000124097",-5872
"ENSG00000162493",-5877
"ENSG00000229415",-5900
"ENSG00000108561",-5921.5
"ENSG00000178952",-5930
"ENSG00000218502",-5956
"ENSG00000130312",-5997
"ENSG00000226361",-6026
"ENSG00000243904",-6028
"ENSG00000165637",-6042
"ENSG00000146223",-6080
"ENSG00000167315",-6084
"ENSG00000075624",-6097
"ENSG00000103035",-6100
"ENSG00000237458",-6136
"ENSG00000230987",-6159
"ENSG00000112739",-6186
"ENSG00000136810",-6201
"ENSG00000234383",-6205
"ENSG00000114125",-6212
"ENSG00000181274",-6239.5
"ENSG00000213939",-6250.5
"ENSG00000175324",-6268
"ENSG00000144381",-6272
"ENSG00000220744",-6289.5
"ENSG00000232578",-6335
"ENSG00000229570",-6336.5
"ENSG00000162989",-6344
"ENSG00000289040",-6344.5
"ENSG00000228071",-6353.5
"ENSG00000226881",-6456
"ENSG00000244266",-6479
"ENSG00000117632",-6491
"ENSG00000116670",-6497.5
"ENSG00000269119",-6519.5
"ENSG00000197345",-6563
"ENSG00000089220",-6568
"ENSG00000117450",-6590
"ENSG00000234371",-6611
"ENSG00000213003",-6632.5
"ENSG00000257790",-6679.5
"ENSG00000240489",-6708
"ENSG00000167863",-6731
"ENSG00000288759",-6745.5
"ENSG00000175792",-6775
"ENSG00000060138",-6790
"ENSG00000136522",-6823
"ENSG00000240409",-6857
"ENSG00000253626",-6882
"ENSG00000226525",-6894
"ENSG00000261205",-6918.5
"ENSG00000143771",-6921
"ENSG00000288749",-6998
"ENSG00000168710",-7012
"ENSG00000213740",-7051
"ENSG00000213226",-7052
"ENSG00000219146",-7098.5
"ENSG00000187504",-7168.5
"ENSG00000259020",-7175.5
"ENSG00000231280",-7188
"ENSG00000151366",-7192
"ENSG00000146731",-7214
"ENSG00000235644",-7218
"ENSG00000228054",-7219
"ENSG00000135525",-7221.5
"ENSG00000255065",-7221.5
"ENSG00000235414",-7221.5
"ENSG00000167600",-7245
"ENSG00000253506",-7284
"ENSG00000249921",-7290.5
"ENSG00000271207",-7353
"ENSG00000212664",-7374.5
"ENSG00000169925",-7407
"ENSG00000111144",-7410.5
"ENSG00000147419",-7452
"ENSG00000126261",-7470
"ENSG00000123009",-7492
"ENSG00000105968",-7506
"ENSG00000213270",-7514
"ENSG00000213261",-7528
"ENSG00000134884",-7560
"ENSG00000241429",-7649.5
"ENSG00000113810",-7654
"ENSG00000155506",-7696
"ENSG00000220248",-7735.5
"ENSG00000241923",-7737
"ENSG00000240023",-7737
"ENSG00000234742",-7815
"ENSG00000205981",-7827
"ENSG00000228979",-7832
"ENSG00000227056",-7843.5
"ENSG00000213051",-7870
"ENSG00000287431",-7885
"ENSG00000242276",-7913.5
"ENSG00000235332",-7917.5
"ENSG00000244052",-7931
"ENSG00000138430",-7948
"ENSG00000232883",-7989
"ENSG00000087460",-8011
"ENSG00000237774",-8032
"ENSG00000152413",-8042
"ENSG00000229132",-8050
"ENSG00000242952",-8076.5
"ENSG00000138443",-8110
"ENSG00000214784",-8146
"ENSG00000229022",-8173
"ENSG00000105988",-8179
"ENSG00000077684",-8203
"ENSG00000134644",-8211
"ENSG00000006625",-8226
"ENSG00000160213",-8245.5
"ENSG00000237425",-8258.5
"ENSG00000236762",-8286
"ENSG00000230364",-8339
"ENSG00000232368",-8371
"ENSG00000224261",-8421
"ENSG00000243317",-8433
"ENSG00000242100",-8465.5
"ENSG00000128829",-8469.5
"ENSG00000214362",-8487
"ENSG00000213383",-8496
"ENSG00000214263",-8508
"ENSG00000232677",-8513
"ENSG00000229133",-8535
"ENSG00000244363",-8541
"ENSG00000229863",-8545
"ENSG00000229251",-8566
"ENSG00000270388",-8576
"ENSG00000213695",-8642.5
"ENSG00000232794",-8648
"ENSG00000111669",-8678
"ENSG00000232385",-8716
"ENSG00000214121",-8727.5
"ENSG00000293057",-8730
"ENSG00000240096",-8746.5
"ENSG00000213309",-8782
"ENSG00000232177",-8846
"ENSG00000242882",-8852
"ENSG00000172974",-8975.5
"ENSG00000147140",-8982.5
"ENSG00000232728",-9020
"ENSG00000212789",-9024
"ENSG00000214896",-9032
"ENSG00000213467",-9084.5
"ENSG00000235587",-9212
"ENSG00000196230",-9253
"ENSG00000105220",-9328
"ENSG00000232341",-9431
"ENSG00000213938",-9439
"ENSG00000270909",-9462.5
"ENSG00000230721",-9480
"ENSG00000230697",-9480.5
"ENSG00000010932",-9489
"ENSG00000164022",-9555
"ENSG00000164167",-9642
"ENSG00000259565",-9689.5
"ENSG00000243697",-9693.5
"ENSG00000099800",-9702.5
"ENSG00000167515",-9754.5
"ENSG00000226415",-9797
"ENSG00000225971",-9809
"ENSG00000244259",-9855
"ENSG00000135624",-9878.5
"ENSG00000075142",-9884.5
"ENSG00000175130",-9934.5
"ENSG00000248626",-10061.5
"ENSG00000213058",-10077
"ENSG00000213763",-10110
"ENSG00000225185",-10113.5
"ENSG00000265681",-10224
"ENSG00000106355",-10238.5
"ENSG00000255059",-10240
"ENSG00000106028",-10246
"ENSG00000228976",-10285
"ENSG00000105223",-10317
"ENSG00000235043",-10334
"ENSG00000250444",-10389
"ENSG00000236058",-10503
"ENSG00000229965",-10505.5
"ENSG00000234397",-10519
"ENSG00000230584",-10526
"ENSG00000116459",-10561
"ENSG00000238249",-10698
"ENSG00000172586",-10785
"ENSG00000130520",-10824.5
"ENSG00000228041",-11042
"ENSG00000293293",-11193
"ENSG00000078618",-11311
"ENSG00000226098",-11323
"ENSG00000111843",-11356
"ENSG00000223583",-11372.5
"ENSG00000244002",-11430
"ENSG00000230203",-11660
"ENSG00000260229",-11725.5
"ENSG00000185630",-11848
"ENSG00000120699",-11855
"ENSG00000234259",-11887.5
"ENSG00000099341",-11973
"ENSG00000233683",-12013
"ENSG00000127946",-12015
"ENSG00000237433",-12087
"ENSG00000212993",-12125
"ENSG00000233954",-12168
"ENSG00000214417",-12177
"ENSG00000137038",-12388.5
"ENSG00000230067",-12452.5
