"","segIdx","rho","sigma","mu","mu.scaled","zero","f_stats"
"ENSMUSG00000000568",0.686646259466346,0.89950542698196,0.826851064985296,7.89437283029521,0.514294867117459,0,3.26096675402857
"ENSMUSG00000000579",0.58705499327624,0.91842881702337,1.20346866625723,5.83444253120922,0.380096533799492,0.00221415456582229,3.55734726162587
"ENSMUSG00000000581",0.733641800552056,0.867121731598272,0.921928988140175,7.68054863985066,0.500364856964468,0,1.8362607064503
"ENSMUSG00000000594",0.603085851794182,0.854593785534653,1.30570026303907,6.57161037969772,0.428120826993608,0.00415651288343309,2.01090337383573
"ENSMUSG00000000600",0.611623257130724,0.777329177887768,0.817573874316263,8.42556496231392,0.548900454898831,0,4.36589198569774
"ENSMUSG00000000605",0.280699271002902,0.519655644139072,1.46494391973508,5.14967444648893,0.335485929392356,0.196080125722523,1.75061579016354
"ENSMUSG00000000606",0.507325359190318,0.5275541133775,1.08671294011205,2.85282276942021,0.185852872837984,0.116203155444332,-0.407613958465762
"ENSMUSG00000000627",0.473352678887395,0.292071905190038,0.294565067107266,1.11648463719592,0.0727356069167435,0.0521154154413172,2.40327901060713
"ENSMUSG00000000628",0.721556727298464,0.907665353927737,0.763856785750564,10.7013841270565,0.697163305820076,0,2.69951381485451
"ENSMUSG00000000631",0.385696086064123,0.722212077885637,1.82181548129676,5.23993692190476,0.341366261249863,0.0258510372596984,2.76114774003091
"ENSMUSG00000000632",0.645480925755538,0.504011876616116,0.441623432189505,1.43056325034488,0.093196894579783,0.0434315625226173,-0.203675556168897
"ENSMUSG00000000706",0.537900771462949,0.989445489843559,1.14162086983199,2.90635567531851,0.189340382465085,0.112501275794788,2.07356650402473
"ENSMUSG00000000708",0.510209498195201,0.7223637391106,1.24665419089043,7.41334419334329,0.482957281867219,0.0168800603371067,2.61748753975127
"ENSMUSG00000000724",0.701005025125628,0.893654485140448,0.551484164692546,1.5030868150806,0.0979215891571333,0.0482953080503143,1.26191221903539
"ENSMUSG00000000730",0.231244249416095,0.64968204404381,1.25576378552328,8.50140111650231,0.553840954828291,0.227988897909898,7.62949850276875
"ENSMUSG00000000731",0.249486870974591,0.220081445935974,0.902016558634475,6.57292882454208,0.428206719754525,0.154653300726877,5.0403563020068
"ENSMUSG00000000738",0.275497204331517,0.544287544912705,1.50601405606619,5.57606038873506,0.363263705574895,0.0606615119989146,3.49062966716149
"ENSMUSG00000000739",0.537953853775922,0.741447823493891,1.24447828603292,4.38906927710182,0.285934764437857,0.0138803283707698,2.32508919345514
"ENSMUSG00000000740",0.679949040979546,1,0.935313609031558,11.7451946667975,0.765164458478066,0,4.27384854580041
"ENSMUSG00000000743",0.580985915492958,0.725040420910786,1.22016397719328,7.39178841375331,0.481552986927905,0.0345970107113252,1.02497684770725
