"","x"
"ENSG00000175164",-3608
"ENSG00000277527",-3614.5
"ENSG00000148153",-3631
"ENSG00000226661",-3657
"ENSG00000239641",-3671
"ENSG00000249706",-3674
"ENSG00000270920",-3674.5
"ENSG00000169507",-3683
"ENSG00000227824",-3741
"ENSG00000162745",-3754
"ENSG00000271158",-3759.5
"ENSG00000280798",-3762
"ENSG00000280360",-3763.5
"ENSG00000221829",-3775
"ENSG00000250040",-3783.5
"ENSG00000222883",-3795.5
"ENSG00000221676",-3801
"ENSG00000229463",-3825.5
"ENSG00000198586",-3834
"ENSG00000160654",-3845.5
"ENSG00000264488",-3871.5
"ENSG00000162461",-3892.5
"ENSG00000231791",-3911
"ENSG00000175928",-3919
"ENSG00000154511",-3953
"ENSG00000287748",-3954
"ENSG00000143536",-3962
"ENSG00000226941",-3963
"ENSG00000202265",-3966.5
"ENSG00000215097",-3969
"ENSG00000289576",-3974.5
"ENSG00000132854",-3978
"ENSG00000274286",-4009
"ENSG00000187583",-4044
"ENSG00000243903",-4056
"ENSG00000242539",-4058
"ENSG00000258177",-4111.5
"ENSG00000173302",-4127
"ENSG00000198997",-4127.5
"ENSG00000174500",-4133
"ENSG00000127252",-4135.5
"ENSG00000253549",-4160
"ENSG00000284377",-4182
"ENSG00000251252",-4186
"ENSG00000255690",-4195
"ENSG00000286960",-4198
"ENSG00000264622",-4214.5
"ENSG00000039139",-4240
"ENSG00000274178",-4244
"ENSG00000188512",-4254
"ENSG00000118260",-4272
"ENSG00000006555",-4278
"ENSG00000240791",-4303
"ENSG00000237984",-4331
"ENSG00000290016",-4340.5
"ENSG00000273769",-4380
"ENSG00000249971",-4383.5
"ENSG00000235151",-4404.5
"ENSG00000198807",-4423
"ENSG00000174165",-4425
"ENSG00000213347",-4428
"ENSG00000242908",-4440
"ENSG00000208036",-4535.5
"ENSG00000232046",-4578
"ENSG00000270244",-4597
"ENSG00000250775",-4603.5
"ENSG00000119878",-4619
"ENSG00000105974",-4635
"ENSG00000165061",-4637
"ENSG00000237783",-4653.5
"ENSG00000204253",-4671
"ENSG00000228572",-4676.5
"ENSG00000207168",-4689
"ENSG00000234061",-4726
"ENSG00000147813",-4737
"ENSG00000285861",-4752
"ENSG00000113361",-4771
"ENSG00000171227",-4799
"ENSG00000247675",-4820.5
"ENSG00000244237",-4826
"ENSG00000225046",-4860
"ENSG00000227421",-4864.5
"ENSG00000215866",-4873.5
"ENSG00000289509",-4884
"ENSG00000231181",-4888.5
"ENSG00000158806",-4907
"ENSG00000253005",-4953
"ENSG00000117505",-4953
"ENSG00000205457",-4961
"ENSG00000290902",-4965.5
"ENSG00000231270",-5018
"ENSG00000243510",-5031
"ENSG00000243710",-5032
"ENSG00000263381",-5078.5
"ENSG00000133466",-5092
"ENSG00000284692",-5118
"ENSG00000224054",-5139.5
"ENSG00000271151",-5141
"ENSG00000275236",-5214
"ENSG00000217169",-5233
"ENSG00000275681",-5244
"ENSG00000223646",-5269
"ENSG00000224122",-5270.5
"ENSG00000228658",-5283
"ENSG00000252321",-5329
"ENSG00000269902",-5361
"ENSG00000236349",-5365.5
"ENSG00000285719",-5374
"ENSG00000255031",-5387.5
"ENSG00000271635",-5441.5
"ENSG00000115355",-5492
"ENSG00000289335",-5492.5
"ENSG00000186468",-5529
"ENSG00000184785",-5588.5
"ENSG00000283259",-5600
"ENSG00000223893",-5605.5
"ENSG00000199797",-5619
"ENSG00000196358",-5632.5
"ENSG00000276642",-5635.5
"ENSG00000261683",-5648
"ENSG00000004487",-5667.5
"ENSG00000143387",-5704
"ENSG00000162928",-5712.5
