"","x"
"ENSG00000153827",-3150
"ENSG00000084090",-3156.5
"ENSG00000164104",-3166.5
"ENSG00000008282",-3171
"ENSG00000248120",-3184.5
"ENSG00000120526",-3186
"ENSG00000196683",-3220
"ENSG00000227348",-3232
"ENSG00000164934",-3248
"ENSG00000243469",-3248.5
"ENSG00000105669",-3260
"ENSG00000182899",-3268
"ENSG00000124226",-3282.5
"ENSG00000230284",-3292
"ENSG00000103342",-3301
"ENSG00000099999",-3303
"ENSG00000146007",-3310.5
"ENSG00000236862",-3322
"ENSG00000167770",-3333
"ENSG00000213522",-3353
"ENSG00000122545",-3358
"ENSG00000004487",-3375
"ENSG00000150347",-3440
"ENSG00000227063",-3458
"ENSG00000137876",-3483
"ENSG00000153107",-3498
"ENSG00000159840",-3511
"ENSG00000102753",-3513
"ENSG00000262135",-3530
"ENSG00000229820",-3556
"ENSG00000235544",-3579
"ENSG00000099942",-3594
"ENSG00000227008",-3597
"ENSG00000224993",-3606.5
"ENSG00000213070",-3608
"ENSG00000234118",-3627
"ENSG00000132305",-3640.5
"ENSG00000227777",-3665.5
"ENSG00000062485",-3697
"ENSG00000166164",-3715
"ENSG00000144224",-3732.5
"ENSG00000184007",-3736
"ENSG00000241810",-3736
"ENSG00000240271",-3753
"ENSG00000115677",-3754
"ENSG00000102241",-3777
"ENSG00000156697",-3778
"ENSG00000125686",-3782
"ENSG00000234806",-3806
"ENSG00000168256",-3827
"ENSG00000183520",-3835
"ENSG00000233243",-3862
"ENSG00000132466",-3888
"ENSG00000157954",-3936
"ENSG00000110801",-3947
"ENSG00000089006",-3959
"ENSG00000231567",-3976
"ENSG00000101294",-3992
"ENSG00000175166",-3993
"ENSG00000104967",-3993
"ENSG00000125651",-4003
"ENSG00000008952",-4003.5
"ENSG00000143222",-4022
"ENSG00000185985",-4054
"ENSG00000100554",-4060.5
"ENSG00000164045",-4083
"ENSG00000171928",-4136.5
"ENSG00000135900",-4148
"ENSG00000251467",-4152
"ENSG00000162702",-4182
"ENSG00000248878",-4210
"ENSG00000229091",-4217
"ENSG00000214144",-4222
"ENSG00000236004",-4225
"ENSG00000259674",-4257
"ENSG00000242834",-4266
"ENSG00000229237",-4271
"ENSG00000271686",-4273
"ENSG00000233268",-4288
"ENSG00000006744",-4307
"ENSG00000228783",-4314
"ENSG00000145386",-4326
"ENSG00000235784",-4350
"ENSG00000226428",-4368
"ENSG00000259208",-4396
"ENSG00000198728",-4397
"ENSG00000273870",-4405
"ENSG00000141551",-4429
"ENSG00000161813",-4452.5
"ENSG00000238069",-4472
"ENSG00000075292",-4554
"ENSG00000228937",-4578
"ENSG00000156411",-4611
"ENSG00000231586",-4628
"ENSG00000179134",-4628
"ENSG00000174231",-4631
"ENSG00000135018",-4635
"ENSG00000220730",-4675
"ENSG00000055070",-4679.5
"ENSG00000132688",-4700
"ENSG00000224858",-4705
"ENSG00000141002",-4752.5
"ENSG00000230568",-4771.5
"ENSG00000188786",-4773.5
"ENSG00000242325",-4797.5
"ENSG00000133318",-4854
"ENSG00000230425",-4857
"ENSG00000109519",-4872
"ENSG00000227096",-4872
"ENSG00000061936",-4883.5
"ENSG00000253946",-4885
"ENSG00000168724",-4886.5
"ENSG00000113384",-4901.5
"ENSG00000153561",-4943
"ENSG00000093000",-4980
"ENSG00000069956",-4990
"ENSG00000270992",-5005
"ENSG00000134283",-5016.5
"ENSG00000090520",-5038
"ENSG00000100387",-5062
"ENSG00000084092",-5066
"ENSG00000289310",-5094.5
"ENSG00000225402",-5121
"ENSG00000172534",-5124
"ENSG00000228600",-5132.5
"ENSG00000004534",-5136
"ENSG00000138398",-5165.5
"ENSG00000249031",-5196
"ENSG00000269893",-5199.5
"ENSG00000223903",-5236
"ENSG00000204438",-5249
"ENSG00000215086",-5252
"ENSG00000100348",-5282
"ENSG00000234981",-5291
"ENSG00000228547",-5312
"ENSG00000140694",-5322
"ENSG00000077152",-5371.5
"ENSG00000241255",-5392
"ENSG00000225057",-5405
"ENSG00000130311",-5414.5
"ENSG00000251254",-5451
"ENSG00000198874",-5534
"ENSG00000289264",-5567
"ENSG00000005339",-5581
"ENSG00000243687",-5589
"ENSG00000214108",-5589
"ENSG00000105341",-5609
"ENSG00000143368",-5633
"ENSG00000234099",-5644.5
"ENSG00000148187",-5732.5
"ENSG00000104442",-5750
"ENSG00000086061",-5765
"ENSG00000099995",-5777
"ENSG00000123200",-5778
"ENSG00000228019",-5795
"ENSG00000245864",-5800
"ENSG00000172270",-5813
"ENSG00000132432",-5877
"ENSG00000187239",-5891
"ENSG00000204387",-5916.5
"ENSG00000086589",-5924
"ENSG00000198836",-5924
"ENSG00000242993",-5951
"ENSG00000049245",-5956
"ENSG00000136819",-5969
"ENSG00000165526",-5980
"ENSG00000085415",-6002.5
"ENSG00000185088",-6110
"ENSG00000237783",-6122
"ENSG00000135250",-6151.5
"ENSG00000243304",-6168
"ENSG00000161542",-6201
"ENSG00000137807",-6206
"ENSG00000124214",-6211
"ENSG00000100307",-6215
"ENSG00000152942",-6220.5
"ENSG00000258647",-6258
"ENSG00000228656",-6263
"ENSG00000099917",-6317.5
"ENSG00000052723",-6350.5
"ENSG00000163374",-6354
"ENSG00000017260",-6375.5
"ENSG00000163513",-6377
"ENSG00000255075",-6406
"ENSG00000109171",-6455.5
"ENSG00000253332",-6502
"ENSG00000232875",-6508.5
"ENSG00000257332",-6533
"ENSG00000248640",-6591
"ENSG00000251464",-6605
"ENSG00000237542",-6626
"ENSG00000033030",-6645
"ENSG00000120727",-6680
"ENSG00000051596",-6707
"ENSG00000229753",-6753
"ENSG00000185591",-6776
"ENSG00000166181",-6838
"ENSG00000240914",-6870.5
"ENSG00000213272",-6889
"ENSG00000168172",-6937
"ENSG00000165219",-6956.5
"ENSG00000139496",-7043.5
"ENSG00000163950",-7125.5
"ENSG00000154144",-7137
"ENSG00000198162",-7144
"ENSG00000149658",-7195
"ENSG00000250672",-7212.5
"ENSG00000130669",-7232.5
"ENSG00000112592",-7241
"ENSG00000143013",-7244.5
"ENSG00000167371",-7247
"ENSG00000185896",-7269.5
"ENSG00000134697",-7284.5
"ENSG00000234982",-7295
"ENSG00000169062",-7296
"ENSG00000063978",-7318.5
"ENSG00000218069",-7334
"ENSG00000224594",-7370.5
"ENSG00000213144",-7376.5
"ENSG00000121749",-7415
"ENSG00000176171",-7443.5
"ENSG00000242052",-7453
"ENSG00000233476",-7470
"ENSG00000229911",-7471
"ENSG00000108256",-7481
"ENSG00000117360",-7549
"ENSG00000168827",-7576
"ENSG00000170027",-7651
"ENSG00000254612",-7682
"ENSG00000136108",-7683
"ENSG00000198876",-7687.5
"ENSG00000132819",-7688
"ENSG00000111364",-7700
"ENSG00000236238",-7709.5
"ENSG00000162222",-7725
"ENSG00000276290",-7732
"ENSG00000228292",-7742
"ENSG00000196821",-7747
"ENSG00000206228",-7785
"ENSG00000235776",-7794
"ENSG00000163605",-7822.5
"ENSG00000270575",-7825
"ENSG00000163812",-7902
"ENSG00000153037",-7913
"ENSG00000175354",-7924.5
"ENSG00000230502",-7932
"ENSG00000157020",-7949.5
"ENSG00000174780",-7955.5
"ENSG00000204569",-7957
"ENSG00000174718",-8067.5
"ENSG00000108510",-8103
"ENSG00000143569",-8125
"ENSG00000143294",-8126.5
"ENSG00000163512",-8157.5
"ENSG00000264546",-8207
"ENSG00000227187",-8233.5
"ENSG00000231684",-8234.5
"ENSG00000112312",-8275
"ENSG00000242087",-8292
"ENSG00000083168",-8322.5
"ENSG00000065135",-8324
"ENSG00000260850",-8431
"ENSG00000126883",-8433
"ENSG00000167186",-8485
"ENSG00000119285",-8510
"ENSG00000074695",-8574.5
"ENSG00000136875",-8586
"ENSG00000231293",-8681
"ENSG00000215474",-8684
"ENSG00000251449",-8706.5
"ENSG00000198791",-8740.5
"ENSG00000133657",-8999
"ENSG00000213371",-9021
"ENSG00000234202",-9031.5
"ENSG00000213641",-9075
"ENSG00000226899",-9112
"ENSG00000103460",-9121
"ENSG00000225558",-9223
"ENSG00000060237",-9239
"ENSG00000288793",-9279
"ENSG00000213880",-9385
"ENSG00000219559",-9394
"ENSG00000240522",-9408
"ENSG00000249311",-9484
"ENSG00000228247",-9492
"ENSG00000240210",-9523
"ENSG00000124151",-9527
"ENSG00000130032",-9545
"ENSG00000181222",-9618
"ENSG00000241723",-9683
"ENSG00000230125",-9685
"ENSG00000230118",-9686
"ENSG00000134001",-9714
"ENSG00000235400",-9746
"ENSG00000267736",-9749
"ENSG00000214223",-9855
"ENSG00000196396",-10204.5
"ENSG00000137693",-10348
"ENSG00000224773",-10395
"ENSG00000249844",-10410.5
"ENSG00000119541",-10423
"ENSG00000138750",-10456
"ENSG00000215007",-10496
"ENSG00000145817",-10628
"ENSG00000272391",-10672
"ENSG00000114902",-10795
"ENSG00000122872",-10862
"ENSG00000115216",-10891
"ENSG00000164040",-10899.5
"ENSG00000182687",-10965.5
"ENSG00000138802",-10974.5
"ENSG00000228818",-10988
"ENSG00000224094",-11030
"ENSG00000213579",-11092
"ENSG00000124198",-11115.5
"ENSG00000139218",-11209
"ENSG00000229032",-11361
"ENSG00000230175",-11375.5
"ENSG00000055917",-11380.5
"ENSG00000157106",-11391
"ENSG00000067955",-11476.5
"ENSG00000110321",-11481
"ENSG00000213787",-11621
"ENSG00000240201",-11852.5
"ENSG00000231043",-11867
"ENSG00000091732",-11897.5
"ENSG00000253341",-11967
"ENSG00000242634",-11970
"ENSG00000166847",-12158
"ENSG00000113456",-12177
"ENSG00000247763",-12215
"ENSG00000066654",-12272
"ENSG00000258570",-12288
"ENSG00000156374",-12452.5
"ENSG00000168092",-12470
"ENSG00000138663",-12623
"ENSG00000090020",-12659.5
"ENSG00000172262",-12715
"ENSG00000100603",-12843
"ENSG00000166200",-13011
"ENSG00000166452",-13033.5
"ENSG00000205726",-13039
"ENSG00000120948",-13134
"ENSG00000128944",-13204
"ENSG00000188895",-13486
"ENSG00000111361",-13589
"ENSG00000221914",-13633
"ENSG00000204965",-13677
"ENSG00000120802",-13792
"ENSG00000160551",-13894
"ENSG00000055483",-13939
"ENSG00000131467",-14309
"ENSG00000086666",-14509
"ENSG00000128595",-14557
"ENSG00000211460",-14680
"ENSG00000169612",-14793
"ENSG00000289013",-14862
"ENSG00000224629",-15163.5
"ENSG00000159263",-15334.5
"ENSG00000232158",-15420
"ENSG00000290759",-15835.5
"ENSG00000104218",-15988
"ENSG00000236317",-16053
"ENSG00000120656",-16213
"ENSG00000213281",-16445
"ENSG00000184677",-16857.5
"ENSG00000154473",-16937
"ENSG00000204131",-17048
"ENSG00000104626",-17288.5
"ENSG00000187569",-17307.5
"ENSG00000151247",-17362
"ENSG00000159248",-17456
"ENSG00000196290",-17979
"ENSG00000135720",-18230
"ENSG00000288876",-18673
"ENSG00000238055",-21179
"ENSG00000187134",-21319
"ENSG00000142233",-23119
"ENSG00000174255",-24364
"ENSG00000171051",-24626
"ENSG00000187988",-25461.5
"ENSG00000186367",-25486
"ENSG00000199732",-26841
"ENSG00000213150",-30131
"ENSG00000216378",-30478
"ENSG00000215043",-30560
"ENSG00000217824",-30588
"ENSG00000213287",-30592
"ENSG00000215785",-30644
"ENSG00000218793",-30752
"ENSG00000221641",-30779
"ENSG00000220237",-30783
"ENSG00000221114",-30908
"ENSG00000218730",-30912
"ENSG00000218089",-30971
"ENSG00000216639",-31038
"ENSG00000224273",-31659
"ENSG00000223977",-31701
"ENSG00000223970",-31758
"ENSG00000224357",-31939
"ENSG00000223488",-31955
"ENSG00000223928",-32010
"ENSG00000224334",-32071
"ENSG00000224611",-32613
"ENSG00000225014",-32648
"ENSG00000224980",-32776
"ENSG00000226509",-33033
"ENSG00000226389",-33150
"ENSG00000227705",-33421
"ENSG00000227521",-33725
"ENSG00000228536",-34212.5
"ENSG00000228045",-34417
"ENSG00000228523",-34452
"ENSG00000228303",-34540
"ENSG00000229308",-35043
"ENSG00000229629",-35153
"ENSG00000233204",-36079
"ENSG00000233040",-36346
"ENSG00000233968",-36811
"ENSG00000236627",-38122
"ENSG00000235990",-38189
"ENSG00000237868",-38461
"ENSG00000237747",-38952
"ENSG00000238038",-39105
"ENSG00000240027",-39136
"ENSG00000239995",-39207
"ENSG00000241097",-39781
"ENSG00000243141",-39903
"ENSG00000241218",-40014
"ENSG00000242123",-40104
"ENSG00000244346",-40291
"ENSG00000242308",-40341
"ENSG00000245667",-40341
"ENSG00000242752",-40585
"ENSG00000243085",-40666
"ENSG00000244199",-40725
"ENSG00000244318",-40897
"ENSG00000248843",-41027
"ENSG00000249065",-41156
"ENSG00000248907",-41229
"ENSG00000248885",-41335
"ENSG00000248387",-41424
"ENSG00000250013",-42145
"ENSG00000250677",-42636
"ENSG00000251249",-42677
"ENSG00000253452",-43880
"ENSG00000253415",-43913
"ENSG00000253628",-44260
"ENSG00000254644",-44407
"ENSG00000255003",-44637
"ENSG00000255522",-45114
"ENSG00000255444",-45531
"ENSG00000256441",-45651.5
"ENSG00000255664",-45696
"ENSG00000255490",-45836
"ENSG00000257813",-45941
"ENSG00000258320",-46368
"ENSG00000258796",-46508
"ENSG00000259112",-46812
"ENSG00000259427",-47259
"ENSG00000259413",-47262
"ENSG00000259530",-47338
"ENSG00000259593",-47623
"ENSG00000261882",-48268
"ENSG00000262516",-48477
"ENSG00000263460",-48513
"ENSG00000266946",-49940
"ENSG00000266677",-50035
"ENSG00000270276",-51333
"ENSG00000270804",-51385
"ENSG00000270427",-51459
"ENSG00000271370",-52284
"ENSG00000276277",-54354
"ENSG00000275432",-54370
"ENSG00000280009",-56375
"ENSG00000283737",-57462
"ENSG00000285754",-58278
"ENSG00000285844",-58420
"ENSG00000286217",-58464
"ENSG00000286819",-58817
"ENSG00000287608",-59366
"ENSG00000288918",-60191
"ENSG00000289188",-61130
"ENSG00000291029",-61818
